[Tue Jul  9 22:37:40 2024]: Z-score + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5389595229989901
[Tue Jul  9 22:37:58 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6046211855506219
[Tue Jul  9 22:38:29 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6056813329407138
[Tue Jul  9 22:39:17 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.591197295684541
[Tue Jul  9 22:39:43 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6032658892573733
[Tue Jul  9 22:40:07 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6035776753561841
[Tue Jul  9 22:40:51 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6017024301873388
[Tue Jul  9 22:41:19 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6046211855506219
[Tue Jul  9 22:41:53 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6063587400467929
[Tue Jul  9 22:43:56 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6057112441662368
[Tue Jul  9 22:44:29 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6060250255012256
[Tue Jul  9 22:45:07 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6059855899743647
[Tue Jul  9 22:45:33 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6063587400467929
[Tue Jul  9 22:54:07 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.5474910602413225
[Wed Jul 10 13:08:26 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6063587400467929
[Wed Jul 10 13:28:39 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6063587400467929
[Wed Jul 10 13:32:19 2024]: Min-Max + SVR(param: {'C': 19, 'kernel': 'linear'}), R2: 0.605281757922768
[Wed Jul 10 13:32:38 2024]: Min-Max + SVR(param: {'C': 9, 'kernel': 'linear'}), R2: 0.6063587400467929
